84504	100492	Band in rood leder. Kruis en omranding in gouddruk (preegdruk). Rug en voorplat rijkelijk versierd.Twee sluitingen in messing.	/	Mechelen	Missale Romanum	Hanicq, P.J.
84505	100493	Band in bruin leder; voorplat met randversiering in gouddruk (preegdruk). Titelblad ontbreekt? Bevat inhoudelijk teksten (in rode en zwarte druk) omtrent de ondertrouw en het huwelijk.			(Ritus celebrandi sponsalia)	
84506	100494	"Band in bruin leder. Centraal op het voorplat \""ECCLESIAE DE MELSELE\"" in gouddruk (preegdruk). De pagina's I en II ontbreken. Inhoud opgemaakt met sjablonen?"			"\""ECCLESIAE DE MELSELE\"""	
84507	100507	-Kazuifel en bursa, damast, groen, rode boord en kruisje telkens versierd met IHS.			Kazuifel, Bursa	
84508	100508	-Kazuifel en kelkdoek, paars damast, kubusvormig motief, goudkleurige rand en kruisje.			Kazuifel, Kelkdoek	
84509	100509	-Kazuifel in zwart fluweel, rugzijde paars kruis over volledige hoogte, versierd met goudkleurige     bloemen en ranken, bovenaan twee duifjes en IHS.  -Kazuifel in damast, zwarte kleur, zilverkleurig kruis met goudkleurige rand, bloemen en ranken, bovena			Kazuifel	
84510	100510	Koorkap, rood, damast, geborduurd schild in kruisjessteek.			Koorkap	
84511	100511	Bursa, witte kleur, met kruis in goudbrokaat.			Bursa	
84512	100512	Canonborden: -deel van canon van de H. Mis, Offertorium van de H. Mis, Laatste Evangelie Js, 1, 121, telkens  in een met parels bezette eikenhouten kader onder glas.	/		Canonbord	Bressers-Blanchaert (atelier)
84513	100513	Canonborden: - Calvarie en Laatste Avondmaal, doopsel van Jezus en offertorium, Laatste Evangelie, telkens in een houten kader met zlverbeslag, onder glas.			Canonbord	
84514	100514	Canonborden: - deel van Canon, Offertorum, Laatste Evangelie, in eikenhouten kader, op de hoeken versierd met gesculpteerde bloem.			Canonbord	
84515	100515	-Collecteschaal met kelk en hostie.			Collecteschaal	
84516	100516	-Mariabeeld met kind.			Mariabeeld met kind	
84517	100517	-H. Hartbeeld, bekleed met aureool.  -Kleed en mantel gemerkt met IHS.			H. Hart	
84518	100518	-Ingekaderde reproductie van de kerk van Strijpen, gemerkt met De Afbraak der oude Kerk te    Strijpen.			Reproductie oude kerk	
84519	100519	-Kelk en pateen in foedraal.			Kelk en pateen	
84520	100520	-Kandelaar met horizontale armen, voor vijf kaarsen.			Lofkandelaar	
84521	100521	-Kandelaar met zeven kaarshouders.  -Smeedwerk in bladmotief.			Lofkandelaar	
84397	100547	Zwartgeblakerd beeldje met twee vergulde harten, in een nisje van bladeren en engelenhoofdjes. Gevat in een rechthoekige, met fineer belegde lijst op geprofileerde basis. Blauwe achtergrond met gouden sterren. Te associëren met het beeldje dat uit de bran			Devotiebeeldje Onze-Lieve-Vrouw van barensweeën	
84522	100547	Zwartgeblakerd beeldje met twee vergulde harten, in een nisje van bladeren en engelenhoofdjes. Gevat in een rechthoekige, met fineer belegde lijst op geprofileerde basis. Blauwe achtergrond met gouden sterren. Te associëren met het beeldje dat uit de bran			Devotiebeeldje Onze-Lieve-Vrouw van barensweeën	
84523	100597	Band in bruin leder voorzien van vijf steunpunten op voor en achterplat. Twee sluitingen in leder. Band versierd met lijnen en lelies in preegdruk. Inhoudelijk een eenvoudig maar mooi hanschrift, verlucht met miniatuurtekeningen in overwegend rood.			Rituale	
84524	100598	Band in bruin leder; rug versierd met bloemmotieven in preegdruk.	/	Antwerpen	Sacrorum Bibliorum vulgatae editionis concordantiae	Verdussen, Jan-Baptist (1698-1773)
